"pclass","survived","sex","age","sibsp","parch","fare","embarked"
"Lower","No","male",27,1,0,197,"S"
"Middle","Yes","female",39,0,0,5,"S"
"Lower","No","male",26,0,0,242,"S"
"Middle","No","male",37,0,0,5,"S"
"Lower","No","male",57,0,0,226,"S"
"Upper","No","male",63,1,0,263,"S"
"Upper","Yes","female",59,0,0,35,"C"
"Lower","No","male",37,0,0,166,"S"
"Lower","Yes","male",62,0,0,227,"S"
"Lower","Yes","male",26,0,0,217,"S"
"Middle","No","male",68,1,2,185,"S"
"Upper","No","male",84,0,0,131,"S"
"Upper","No","male",65,0,0,231,"C"
"Lower","No","male",29,0,0,191,"S"
"Middle","No","male",50,0,0,26,"S"
"Middle","Yes","female",9,1,2,146,"C"
"Lower","No","male",33,0,0,191,"S"
"Upper","No","male",60,0,0,148,"S"
"Middle","No","male",29,0,0,26,"S"
"Middle","Yes","female",60,0,0,26,"S"
"Upper","Yes","female",49,0,0,80,"C"
"Middle","Yes","female",14,0,1,70,"S"
"Middle","No","male",44,0,0,28,"S"
"Lower","Yes","female",69,4,2,124,"S"
"Middle","Yes","female",31,1,2,185,"S"
"Lower","No","male",39,0,0,272,"S"
"Lower","Yes","female",20,0,0,200,"S"
"Upper","Yes","female",55,0,0,79,"S"
"Lower","No","male",31,0,0,222,"S"
"Middle","Yes","female",37,0,0,26,"S"
"Upper","Yes","female",27,0,2,152,"C"
"Middle","Yes","female",70,0,0,5,"S"
"Lower","No","male",47,0,0,175,"S"
"Middle","No","male",61,1,1,99,"S"
"Lower","No","male",71,0,0,242,"S"
"Lower","Yes","male",33,0,0,217,"S"
"Upper","No","male",52,1,0,162,"S"
"Upper","Yes","female",22,1,0,281,"C"
"Upper","Yes","female",26,2,2,104,"C"
"Upper","Yes","female",49,0,0,159,"C"
"Upper","Yes","female",63,1,0,161,"S"
"Lower","No","male",48,0,0,220,"Q"
"Lower","Yes","male",41,0,0,273,"S"
"Middle","Yes","female",31,0,2,43,"S"
"Upper","Yes","female",20,1,0,162,"S"
"Lower","Yes","female",31,1,0,56,"S"
"Upper","Yes","female",55,1,1,13,"C"
"Upper","Yes","female",71,0,1,141,"S"
"Lower","Yes","male",44,0,0,222,"S"
"Middle","Yes","female",43,1,1,99,"S"
"Upper","Yes","male",68,1,0,167,"C"
"Middle","Yes","male",60,0,0,26,"S"
"Upper","No","male",41,0,0,109,"C"
"Middle","No","male",33,0,0,5,"S"
"Upper","Yes","male",33,1,0,164,"C"
"Lower","No","female",37,1,1,40,"S"
"Lower","No","male",26,0,0,195,"C"
"Lower","Yes","male",33,0,0,2,"S"
"Lower","No","female",99,2,2,133,"S"
"Upper","Yes","female",22,0,2,100,"S"
"Upper","Yes","male",73,1,1,259,"S"
"Middle","Yes","female",56,2,1,140,"S"
"Upper","No","male",53,0,0,2,"S"
"Lower","No","male",57,0,0,195,"C"
"Middle","No","male",72,0,0,26,"S"
"Upper","No","male",36,0,2,80,"C"
"Upper","Yes","female",74,1,1,259,"S"
"Lower","No","female",97,3,1,77,"S"
"Middle","No","male",34,0,0,26,"S"
"Lower","Yes","female",56,0,2,81,"S"
"Lower","No","male",31,0,0,200,"S"
"Middle","No","male",59,0,0,47,"C"
"Lower","No","female",24,0,0,222,"S"
"Middle","Yes","female",17,0,2,140,"S"
"Lower","Yes","female",9,1,1,62,"S"
"Upper","No","male",65,1,0,181,"S"
"Middle","No","male",34,0,0,26,"S"
"Lower","No","male",26,1,0,175,"S"
"Lower","Yes","female",20,0,0,214,"S"
"Middle","No","female",41,0,0,26,"S"
"Lower","No","female",63,1,4,110,"S"
"Lower","Yes","female",2,1,2,75,"S"
"Upper","Yes","female",22,0,0,118,"S"
"Upper","Yes","male",60,0,0,101,"S"
"Lower","No","female",33,1,0,227,"S"
"Lower","No","male",27,0,0,226,"S"
"Upper","Yes","female",31,3,2,105,"S"
"Middle","No","male",82,1,1,140,"S"
"Upper","Yes","female",55,1,0,165,"S"
"Middle","No","male",59,0,0,26,"S"
"Middle","Yes","female",36,1,0,31,"C"
"Upper","No","male",66,1,0,85,"C"
"Middle","No","male",36,0,0,26,"S"
"Lower","Yes","female",18,0,0,206,"S"
"Lower","No","male",31,2,0,90,"S"
"Upper","No","male",72,1,1,240,"S"
"Upper","Yes","female",50,1,2,25,"S"
"Upper","Yes","male",49,0,0,103,"C"
"Lower","No","male",20,0,0,213,"S"
"Lower","Yes","female",27,0,0,257,"S"
"Upper","No","male",77,0,0,121,"C"
"Middle","No","male",72,0,0,28,"S"
"Upper","No","male",50,0,0,145,"C"
"Upper","Yes","male",67,0,0,103,"S"
"Lower","No","male",34,1,0,41,"C"
"Lower","Yes","female",63,0,0,195,"C"
"Lower","No","male",19,1,0,192,"S"
"Upper","Yes","female",85,0,0,258,"?"
"Lower","No","male",53,0,0,253,"S"
"Lower","Yes","male",33,0,0,273,"S"
"Upper","Yes","male",67,1,0,160,"S"
"Lower","No","male",26,0,0,227,"S"
"Middle","No","male",89,0,0,5,"S"
"Middle","No","male",20,0,0,12,"S"
"Lower","No","male",43,0,0,214,"S"
"Lower","Yes","female",20,0,0,242,"S"
"Lower","Yes","male",26,0,0,219,"Q"
"Middle","Yes","female",57,0,0,55,"S"
"Lower","No","male",31,1,0,61,"S"
"Lower","No","male",24,0,0,222,"S"
"Upper","Yes","male",72,0,0,120,"S"
"Upper","Yes","female",57,1,1,35,"C"
"Lower","Yes","male",27,0,0,195,"C"
"Lower","Yes","female",39,0,2,50,"C"
"Middle","Yes","female",75,0,0,60,"S"
"Upper","No","male",68,0,0,98,"S"
"Upper","No","male",62,2,0,280,"Q"
"Lower","Yes","male",44,0,0,214,"S"
"Upper","Yes","female",46,1,0,162,"S"
"Middle","No","male",44,0,0,26,"S"
"Lower","No","male",22,0,0,245,"S"
"Lower","No","male",27,0,0,226,"S"
"Lower","No","female",34,1,0,61,"S"
"Upper","No","male",75,1,1,282,"S"
"Lower","No","male",50,0,0,273,"S"
"Middle","No","male",22,0,0,26,"S"
"Lower","Yes","female",29,0,0,222,"S"
"Middle","No","male",29,0,0,26,"S"
"Upper","Yes","female",34,1,0,37,"C"
"Upper","Yes","female",37,3,2,105,"S"
"Lower","Yes","female",26,0,0,206,"S"
"Upper","Yes","male",44,0,0,120,"C"
"Upper","No","male",66,0,0,160,"S"
"Lower","No","male",47,0,0,242,"S"
"Upper","Yes","female",46,0,0,108,"C"
"Lower","No","male",55,0,0,90,"S"
"Lower","No","male",33,0,0,195,"C"
"Middle","No","male",41,1,1,98,"S"
"Middle","No","male",31,0,0,26,"S"
"Middle","Yes","male",23,1,1,98,"S"
"Lower","No","male",99,5,2,150,"S"
"Middle","Yes","female",31,1,1,138,"C"
"Upper","No","male",70,0,0,98,"S"
"Upper","Yes","female",70,0,1,91,"C"
"Upper","Yes","female",29,1,0,14,"C"
"Lower","Yes","female",27,0,0,213,"S"
"Middle","No","male",29,1,0,5,"S"
"Lower","No","male",33,1,0,65,"S"
"Lower","No","male",46,0,0,226,"S"
"Lower","No","male",43,0,0,210,"Q"
"Lower","Yes","male",33,0,0,206,"S"
"Lower","No","female",41,1,1,90,"S"
"Upper","No","male",70,1,1,80,"C"
"Middle","Yes","female",8,1,2,109,"S"
"Lower","No","female",27,0,0,6,"S"
"Lower","No","male",33,0,0,227,"S"
"Lower","Yes","female",6,2,1,69,"C"
"Upper","No","male",85,0,0,103,"S"
"Middle","No","male",20,0,0,230,"S"
"Middle","Yes","female",26,0,1,76,"S"
"Upper","Yes","female",49,1,0,169,"C"
"Upper","Yes","female",52,1,0,280,"Q"
"Upper","Yes","female",27,0,1,163,"S"
"Lower","No","male",43,3,0,66,"S"
"Middle","Yes","female",27,0,0,5,"S"
"Upper","Yes","female",15,1,2,25,"S"
"Upper","Yes","male",49,0,0,159,"C"
"Middle","Yes","female",13,2,1,140,"S"
"Lower","No","male",56,3,2,110,"S"
"Upper","Yes","female",27,0,0,58,"S"
"Middle","No","male",85,0,0,275,"Q"
"Lower","No","male",10,4,1,115,"Q"
"Lower","No","male",20,1,1,72,"S"
"Middle","Yes","female",59,0,1,70,"S"
"Middle","No","male",39,0,0,5,"S"
"Lower","No","male",41,1,0,61,"S"
"Lower","No","male",24,0,0,195,"C"
"Lower","No","male",19,1,1,196,"C"
"Lower","Yes","male",39,3,1,81,"S"
"Middle","No","male",26,0,0,26,"S"
"Lower","No","male",31,0,0,242,"S"
"Middle","No","male",36,0,0,26,"S"
"Middle","Yes","female",37,1,0,89,"C"
"Middle","No","male",20,0,0,5,"S"
"Lower","No","male",22,0,0,43,"S"
"Middle","Yes","female",37,0,0,22,"S"
"Upper","Yes","female",31,0,0,187,"C"
"Middle","Yes","female",23,1,1,98,"S"
"Lower","Yes","female",56,1,1,62,"S"
"Upper","Yes","female",86,1,0,236,"S"
"Upper","Yes","female",36,1,2,160,"S"
